Viability,Smiles
92.78,Cc1ccnn1CCc1nc(C2COCC2)no1
115.4,COCc1cc(CNC(c(sc2cccc(F)c22)c2Cl)=O)n[nH]1
97.02,O=C(c1cnc(-c2cnccc2)nc1)N(C1)CC1c1cnccc1
58.39,Cc1noc(C)c1CCCNC(C1CCN(Cc2ccco2)CC1)=O
83.93,Cc1noc(C)c1C(N(CCC1)CC1(CC1)CN(Cc2ccncc2)C1=O)=O
89.9,Cc(cncc1)c1N(CCC1)CCN1C(C(CCN1c2ccccc2)C1=O)=O
158.47,CC(C)n1ncc(NC(NC(CC2)CN2C(OCc2ccccc2)=O)=O)c1
97.34,COCCc1noc(C2(CC2)c(cc2)ccc2F)n1
129.0,COC[C@H](CCC1)[C@H]1NC(Nc1cccc(F)c1F)=O
109.98,CN(C)CCN(CC(C1)C(NC2c(cccc3)c3-c3c2cccc3)=O)C1=O
77.58,CCN1c(cc(cc2)NC(N(CC(C)C)Cc3ncccc3)=O)c2OCC1=O
18.67,CCc(cccc1)c1N(CC1)CCN1c1cc(C(C2)CC2N)nc(N)n1
85.58,CN(CCn(cc1)c2c1cccc2)C(c(cc1)cn2c1ncc2)=O
117.12,Cc1cc(NCCNC(C2CN(Cc3ccco3)CCC2)=O)ncc1
98.86,CCc1c(C)n(CC(N(CC2)CCN2c(cc2)nn3c2ncc3)=O)nc1C
101.48,CC(C)[C@@H](CN(C1)C(c2cc(OC)ncc2)=O)[C@H]1NS(N(C)C)(=O)=O
94.69,O=C(Cc(cc1)cc2c1OCO2)NC[C@H](C1)NC[C@H]1F
120.02,CC(c1cccc(-c2n[nH]c(C(F)(F)F)n2)c1)N(C)C
88.04,CC(c1nc(-c2ncccc2)no1)NC(c(cc(cc1)OC)c1OC)=O
84.17,O=C(C(CC1)Oc2c1cccc2)NCc1nn(CCCNC2)c2c1
68.23,CC(C=C(C)N1)=C(C(NCCc2nc(ccc(OC)c3)c3[nH]2)=O)C1=O
93.64,CC(C)c1noc(CN2[C@@H](CS(C3)(=O)=O)[C@@H]3N(CCOC)CC2)n1
83.72,CCCOC(CCC1)CN1C(C1CCN(Cc2ccco2)CC1)=O
75.99,O=C(CN1CCCCCCC1)N1CC(Cn2cncc2)CCC1
98.56,CCCn1ncc(CNS(c2cc(C(NC(C)C)=O)ccc2)(=O)=O)c1
81.73,O=C(Nc(ccc(F)c1)c1Cl)N(C1)C[C@@H]2[C@H]1[C@H]1C[C@@H]2CC1
88.16,O=C(C(N1C(CCN2CCOCC2)CCCC1)=O)c1cnccc1
94.96,CC(C)Cc1nn(C(C)C)c(CCn2ncc(C)c2)n1
95.91,O=C(C(NN1c2ccccc2)=CC1=O)NC(CCC1)CN1c1ncccn1
99.26,CC(c(cc1)cnc1N(CC[C@@H]1NC(c2ncccc2)=O)C[C@@H]1O)=O
84.08,Cc1cn(CCNC(c2cc(-c3ccc(C)s3)n[nH]2)=O)nn1
95.24,Cc1c(N(C)C)nc(N2C[C@@H]3N(C)CC[C@@H]3C2)nc1
99.35,O=C(c1cocc1)N(CCC1)CCN1C(c(cc1)cc2c1OCCC2)=O
89.36,Cc1cc(C(N(CC2)CCC2([C@@H](C2)O)[C@H]2O)=O)c(ccc(F)c2)c2n1
86.38,CO[C@@H]([C@H](CC1)C2)[C@@H]1CN2C(CCCn1ncnc1)=O
83.43,Cc1c(C(N(C)Cc2cc3nonc3cc2)=O)oc2c1ccc(OC)c2
177.69,CCOc(ccc(NC(NCC1OCCC1)=O)c1)c1-n1cccc1
97.93,CCCCC(C=CC1)N1C(C(CC1)CCN1C(C1CCC1)=O)=O
100.61,CCc1noc(C)c1-c1nc(-c2nnc(C)cc2)no1
98.07,Cn1ncc(Cl)c1C(N(CCN(Cc1ccccc1)C1)CC1O)=O
85.86,O=C(CCn1nccc1)N(CC1)CCC1(CC1)CN(CCc2cnccc2)C1=O
113.11,COc(ccc(C(NCc1noc(C2CC2)c1)=O)c1)c1N1CCOCC1
169.29,Cc(cc(CSc1nnc(CNC)n1C)cc1)c1F
94.14,Cc1c(C(N(CC2)CC2(CN2C)OC2=O)=O)oc(COc2ccccc2)c1
114.04,Cc1cccc(C2(CC2)NC(C2(Cn3nccc3)CC2)=O)c1
85.24,Cn1c(C(C2CC2)NC(Nc(cc2)ccc2SC(F)(F)F)=O)ncc1
105.21,Oc1c(cccc2F)c2nc(CN(CCC2)CC2(CN2)OC2=O)c1
